#Episode,#Frame,#Epsode Timesteps,Total episode score,Last Mean Batch Loss
0,10,10,9.0,-1
1,70,60,59.0,-1
2,92,22,21.0,-1
3,102,10,9.0,-1
4,115,13,12.0,-1
5,159,44,43.0,-1
6,181,22,21.0,-1
7,193,12,11.0,-1
8,219,26,25.0,-1
9,240,21,20.0,-1
10,253,13,12.0,-1
11,283,30,29.0,-1
12,302,19,18.0,-1
13,317,15,14.0,-1
14,360,43,42.0,-1
15,377,17,16.0,-1
16,390,13,12.0,-1
17,412,22,21.0,-1
18,427,15,14.0,-1
19,440,13,12.0,-1
20,467,27,26.0,-1
21,487,20,19.0,-1
22,502,15,14.0,-1
23,542,40,39.0,-1
24,563,21,20.0,-1
25,580,17,16.0,-1
26,605,25,24.0,-1
27,628,23,22.0,-1
28,649,21,20.0,-1
29,676,27,26.0,-1
30,690,14,13.0,-1
31,707,17,16.0,-1
32,725,18,17.0,-1
33,736,11,10.0,-1
34,758,22,21.0,-1
35,787,29,28.0,-1
36,808,21,20.0,-1
37,827,19,18.0,-1
38,853,26,25.0,-1
39,905,52,51.0,-1
40,923,18,17.0,-1
41,942,19,18.0,-1
42,971,29,28.0,-1
43,1018,47,46.0,-1
44,1039,21,20.0,-1
45,1049,10,9.0,-1
46,1059,10,9.0,-1
47,1078,19,18.0,-1
48,1093,15,14.0,-1
49,1110,17,16.0,-1
50,1135,25,24.0,-1
51,1151,16,15.0,-1
52,1164,13,12.0,-1
53,1174,10,9.0,-1
54,1189,15,14.0,-1
55,1203,14,13.0,-1
56,1234,31,30.0,-1
57,1281,47,46.0,-1
58,1310,29,28.0,-1
59,1319,9,8.0,-1
60,1340,21,20.0,-1
61,1354,14,13.0,-1
62,1367,13,12.0,-1
63,1396,29,28.0,-1
64,1412,16,15.0,-1
65,1438,26,25.0,-1
66,1474,36,35.0,-1
67,1486,12,11.0,-1
68,1503,17,16.0,-1
69,1525,22,21.0,-1
70,1567,42,41.0,-1
71,1595,28,27.0,-1
72,1620,25,24.0,-1
73,1640,20,19.0,-1
74,1651,11,10.0,-1
75,1668,17,16.0,-1
76,1677,9,8.0,-1
77,1689,12,11.0,-1
78,1710,21,20.0,-1
79,1721,11,10.0,-1
80,1740,19,18.0,-1
81,1759,19,18.0,-1
82,1780,21,20.0,-1
83,1811,31,30.0,-1
84,1832,21,20.0,-1
85,1841,9,8.0,-1
86,1860,19,18.0,-1
87,1872,12,11.0,-1
88,1885,13,12.0,-1
89,1908,23,22.0,-1
90,1936,28,27.0,-1
91,1954,18,17.0,-1
92,1964,10,9.0,-1
93,1980,16,15.0,-1
94,1992,12,11.0,-1
95,2011,19,18.0,-1
96,2048,37,36.0,-1
97,2107,59,58.0,-1
98,2116,9,8.0,-1
99,2140,24,23.0,-1
100,2150,10,9.0,-1
101,2160,10,9.0,-1
102,2183,23,22.0,-1
103,2199,16,15.0,-1
104,2213,14,13.0,-1
105,2228,15,14.0,-1
106,2244,16,15.0,-1
107,2266,22,21.0,-1
108,2288,22,21.0,-1
109,2300,12,11.0,-1
110,2325,25,24.0,-1
111,2355,30,29.0,-1
112,2369,14,13.0,-1
113,2390,21,20.0,-1
114,2411,21,20.0,-1
115,2473,62,61.0,-1
116,2498,25,24.0,-1
117,2522,24,23.0,-1
118,2534,12,11.0,-1
119,2583,49,48.0,-1
120,2606,23,22.0,-1
121,2618,12,11.0,-1
122,2629,11,10.0,-1
123,2644,15,14.0,-1
124,2655,11,10.0,-1
125,2673,18,17.0,-1
126,2700,27,26.0,-1
127,2725,25,24.0,-1
128,2746,21,20.0,-1
129,2769,23,22.0,-1
130,2778,9,8.0,-1
131,2799,21,20.0,-1
132,2819,20,19.0,-1
133,2844,25,24.0,-1
134,2854,10,9.0,-1
135,2869,15,14.0,-1
136,2889,20,19.0,-1
137,2909,20,19.0,-1
138,2940,31,30.0,-1
139,2965,25,24.0,-1
140,2980,15,14.0,-1
141,2990,10,9.0,-1
142,3008,18,17.0,-1
143,3023,15,14.0,-1
144,3040,17,16.0,-1
145,3053,13,12.0,-1
146,3075,22,21.0,-1
147,3091,16,15.0,-1
148,3122,31,30.0,-1
149,3144,22,21.0,-1
150,3195,51,50.0,-1
151,3261,66,65.0,-1
152,3303,42,41.0,-1
153,3316,13,12.0,-1
154,3335,19,18.0,-1
