EPISODE,TOTAL FRAMES,FRAME,STATE,EPSILON,ACTION,REWARD,Q_MAX,MEAN REWARD,Last Batch Loss Mean
0,12,12,observe,1.0,0,11.0,-1,0.0,0.0
1,32,20,observe,1.0,0,19.0,-1,0.11,0.0
2,49,17,observe,1.0,1,16.0,-1,0.3,0.0
3,96,47,observe,1.0,0,46.0,-1,0.46,0.0
4,106,10,observe,1.0,0,9.0,-1,0.92,0.0
5,121,15,observe,1.0,1,14.0,-1,1.01,0.0
6,137,16,observe,1.0,1,15.0,-1,1.15,0.0
7,153,16,observe,1.0,1,15.0,-1,1.3,0.0
8,190,37,observe,1.0,1,36.0,-1,1.45,0.0
9,200,10,observe,1.0,1,10.0,-1,1.81,0.0
9,216,26,observe,1.0,0,25.0,-1,1.81,0.0
10,238,22,observe,1.0,1,21.0,-1,2.06,0.0
11,253,15,observe,1.0,1,14.0,-1,2.27,0.0
12,281,28,observe,1.0,0,27.0,-1,2.41,0.0
13,300,19,observe,1.0,0,18.0,-1,2.68,0.0
14,330,30,observe,1.0,1,29.0,-1,2.86,0.0
15,355,25,observe,1.0,0,24.0,-1,3.15,0.0
16,381,26,observe,1.0,1,25.0,-1,3.39,0.0
17,400,19,observe,1.0,0,19.0,-1,3.64,0.0
17,409,28,observe,1.0,0,27.0,-1,3.64,0.0
18,421,12,observe,1.0,0,11.0,-1,3.91,0.0
19,444,23,observe,1.0,0,22.0,-1,4.02,0.0
20,468,24,observe,1.0,1,23.0,-1,4.24,0.0
21,496,28,observe,1.0,1,27.0,-1,4.47,0.0
22,514,18,observe,1.0,1,17.0,-1,4.74,0.0
23,538,24,observe,1.0,0,23.0,-1,4.91,0.0
24,570,32,observe,1.0,0,31.0,-1,5.14,0.0
25,584,14,observe,1.0,0,13.0,-1,5.45,0.0
26,600,16,observe,1.0,0,16.0,-1,5.58,0.0
26,609,25,observe,1.0,1,24.0,-1,5.58,0.0
27,625,16,observe,1.0,1,15.0,-1,5.82,0.0
28,653,28,observe,1.0,1,27.0,-1,5.97,0.0
29,666,13,observe,1.0,0,12.0,-1,6.24,0.0
30,677,11,observe,1.0,1,10.0,-1,6.36,0.0
31,691,14,observe,1.0,1,13.0,-1,6.46,0.0
32,703,12,observe,1.0,0,11.0,-1,6.59,0.0
33,718,15,observe,1.0,0,14.0,-1,6.7,0.0
34,748,30,observe,1.0,0,29.0,-1,6.84,0.0
35,763,15,observe,1.0,0,14.0,-1,7.13,0.0
36,782,19,observe,1.0,0,18.0,-1,7.27,0.0
37,794,12,observe,1.0,1,11.0,-1,7.45,0.0
38,800,6,observe,1.0,0,6.0,-1,7.56,0.0
38,821,27,observe,1.0,0,26.0,-1,7.56,0.0
39,835,14,observe,1.0,0,13.0,-1,7.82,0.0
40,853,18,observe,1.0,0,17.0,-1,7.95,0.0
41,885,32,observe,1.0,1,31.0,-1,8.12,0.0
42,947,62,observe,1.0,1,61.0,-1,8.43,0.0
43,996,49,observe,1.0,1,48.0,-1,9.04,0.0
44,1000,4,observe,1.0,0,4.0,-1,9.52,0.0
44,1012,16,observe,1.0,0,15.0,-1,9.52,0.0
45,1068,56,observe,1.0,0,55.0,-1,9.67,0.0
46,1085,17,observe,1.0,1,16.0,-1,10.22,0.0
47,1104,19,observe,1.0,0,18.0,-1,10.38,0.0
48,1119,15,observe,1.0,1,14.0,-1,10.56,0.0
49,1169,50,observe,1.0,1,49.0,-1,10.7,0.0
50,1187,18,observe,1.0,0,17.0,-1,11.19,0.0
51,1200,13,observe,1.0,0,13.0,-1,11.36,0.0
51,1215,28,observe,1.0,0,27.0,-1,11.36,0.0
52,1229,14,observe,1.0,0,13.0,-1,11.63,0.0
53,1267,38,observe,1.0,0,37.0,-1,11.76,0.0
54,1306,39,observe,1.0,0,38.0,-1,12.13,0.0
55,1315,9,observe,1.0,0,8.0,-1,12.51,0.0
56,1331,16,observe,1.0,1,15.0,-1,12.59,0.0
57,1344,13,observe,1.0,1,12.0,-1,12.74,0.0
58,1383,39,observe,1.0,1,38.0,-1,12.86,0.0
59,1400,17,observe,1.0,1,17.0,-1,13.24,0.0
59,1406,23,observe,1.0,0,22.0,-1,13.24,0.0
60,1437,31,observe,1.0,0,30.0,-1,13.46,0.0
61,1453,16,observe,1.0,1,15.0,-1,13.76,0.0
62,1506,53,observe,1.0,1,52.0,-1,13.91,0.0
63,1520,14,observe,1.0,0,13.0,-1,14.43,0.0
64,1564,44,observe,1.0,1,43.0,-1,14.56,0.0
65,1592,28,observe,1.0,0,27.0,-1,14.99,0.0
66,1600,8,observe,1.0,1,8.0,-1,15.26,0.0
66,1615,23,observe,1.0,0,22.0,-1,15.26,0.0
67,1634,19,observe,1.0,0,18.0,-1,15.48,0.0
68,1668,34,observe,1.0,1,33.0,-1,15.66,0.0
69,1678,10,observe,1.0,0,9.0,-1,15.99,0.0
70,1699,21,observe,1.0,0,20.0,-1,16.08,0.0
71,1718,19,observe,1.0,1,18.0,-1,16.28,0.0
72,1736,18,observe,1.0,1,17.0,-1,16.46,0.0
73,1756,20,observe,1.0,0,19.0,-1,16.63,0.0
74,1769,13,observe,1.0,0,12.0,-1,16.82,0.0
75,1800,31,observe,1.0,0,30.0,-1,16.94,0.0
76,1821,21,observe,1.0,0,20.0,-1,17.24,0.0
77,1836,15,observe,1.0,1,14.0,-1,17.44,0.0
78,1873,37,observe,1.0,1,36.0,-1,17.58,0.0
79,1909,36,observe,1.0,0,35.0,-1,17.94,0.0
80,1968,59,observe,1.0,1,58.0,-1,18.29,0.0
81,1985,17,observe,1.0,1,16.0,-1,18.87,0.0
82,1995,10,observe,1.0,1,9.0,-1,19.03,0.0
83,2000,5,observe,1.0,0,5.0,-1,19.12,0.0
83,2010,15,observe,1.0,1,14.0,-1,19.12,0.0
84,2026,16,observe,1.0,0,15.0,-1,19.26,0.0
85,2057,31,observe,1.0,0,30.0,-1,19.41,0.0
86,2094,37,observe,1.0,0,36.0,-1,19.71,0.0
87,2112,18,observe,1.0,1,17.0,-1,20.07,0.0
88,2124,12,observe,1.0,0,11.0,-1,20.24,0.0
89,2140,16,observe,1.0,0,15.0,-1,20.35,0.0
90,2151,11,observe,1.0,0,10.0,-1,20.5,0.0
91,2185,34,observe,1.0,0,33.0,-1,20.6,0.0
92,2200,15,observe,1.0,0,14.0,-1,20.93,0.0
93,2236,36,observe,1.0,1,35.0,-1,21.07,0.0
94,2255,19,observe,1.0,0,18.0,-1,21.42,0.0
95,2272,17,observe,1.0,1,16.0,-1,21.6,0.0
96,2292,20,observe,1.0,1,19.0,-1,21.76,0.0
97,2307,15,observe,1.0,1,14.0,-1,21.95,0.0
98,2318,11,observe,1.0,0,10.0,-1,22.09,0.0
99,2349,31,observe,1.0,1,30.0,-1,22.19,0.0
100,2374,25,observe,1.0,0,24.0,-1,22.49,0.0
101,2394,20,observe,1.0,1,19.0,-1,22.62,0.0
102,2400,6,observe,1.0,0,6.0,-1,22.62,0.0
102,2413,19,observe,1.0,0,18.0,-1,22.62,0.0
103,2438,25,observe,1.0,1,24.0,-1,22.64,0.0
104,2447,9,observe,1.0,1,8.0,-1,22.42,0.0
105,2469,22,observe,1.0,0,21.0,-1,22.41,0.0
106,2489,20,observe,1.0,1,19.0,-1,22.48,0.0
107,2506,17,observe,1.0,1,16.0,-1,22.52,0.0
108,2523,17,observe,1.0,0,16.0,-1,22.53,0.0
109,2534,11,observe,1.0,0,10.0,-1,22.33,0.0
110,2548,14,observe,1.0,1,13.0,-1,22.18,0.0
111,2561,13,observe,1.0,0,12.0,-1,22.1,0.0
112,2587,26,observe,1.0,1,25.0,-1,22.08,0.0
113,2600,13,observe,1.0,1,13.0,-1,22.06,0.0
113,2608,21,observe,1.0,1,20.0,-1,22.06,0.0
114,2621,13,observe,1.0,1,12.0,-1,22.08,0.0
115,2639,18,observe,1.0,1,17.0,-1,21.91,0.0
116,2664,25,observe,1.0,0,24.0,-1,21.84,0.0
117,2680,16,observe,1.0,1,15.0,-1,21.83,0.0
118,2714,34,observe,1.0,0,33.0,-1,21.71,0.0
119,2730,16,observe,1.0,1,15.0,-1,21.93,0.0
120,2745,15,observe,1.0,1,14.0,-1,21.86,0.0
121,2761,16,observe,1.0,0,15.0,-1,21.77,0.0
122,2779,18,observe,1.0,0,17.0,-1,21.65,0.0
123,2800,21,observe,1.0,1,21.0,-1,21.65,0.0
123,2847,68,observe,1.0,0,67.0,-1,21.65,0.0
124,2874,27,observe,1.0,1,26.0,-1,22.09,0.0
125,2915,41,observe,1.0,1,40.0,-1,22.04,0.0
126,2928,13,observe,1.0,0,12.0,-1,22.31,0.0
127,2948,20,observe,1.0,0,19.0,-1,22.19,0.0
128,2995,47,observe,1.0,1,46.0,-1,22.23,0.0
129,3000,5,observe,1.0,0,5.0,-1,22.42,0.0
129,3047,52,observe,1.0,1,51.0,-1,22.42,0.0
130,3061,14,observe,1.0,1,13.0,-1,22.81,0.0
131,3074,13,observe,1.0,1,12.0,-1,22.84,0.0
132,3089,15,observe,1.0,0,14.0,-1,22.83,0.0
133,3112,23,observe,1.0,1,22.0,-1,22.86,0.0
134,3125,13,observe,1.0,0,12.0,-1,22.94,0.0
135,3152,27,observe,1.0,1,26.0,-1,22.77,0.0
136,3200,48,observe,1.0,1,48.0,-1,22.89,0.0
136,3209,57,observe,1.0,0,56.0,-1,22.89,0.0
137,3224,15,observe,1.0,0,14.0,-1,23.27,0.0
138,3240,16,observe,1.0,1,15.0,-1,23.3,0.0
139,3270,30,observe,1.0,0,29.0,-1,23.19,0.0
140,3314,44,observe,1.0,1,43.0,-1,23.35,0.0
141,3342,28,observe,1.0,0,27.0,-1,23.61,0.0
142,3368,26,observe,1.0,1,25.0,-1,23.57,0.0
143,3389,21,observe,1.0,0,20.0,-1,23.21,0.0
144,3400,11,observe,1.0,0,11.0,-1,22.93,0.0
144,3401,12,observe,1.0,1,11.0,-1,22.93,0.0
145,3421,20,observe,1.0,0,19.0,-1,22.89,0.0
146,3448,27,observe,1.0,0,26.0,-1,22.53,0.0
147,3464,16,observe,1.0,0,15.0,-1,22.63,0.0
148,3485,21,observe,1.0,1,20.0,-1,22.6,0.0
149,3514,29,observe,1.0,1,28.0,-1,22.66,0.0
150,3528,14,observe,1.0,1,13.0,-1,22.45,0.0
151,3545,17,observe,1.0,1,16.0,-1,22.41,0.0
152,3567,22,observe,1.0,0,21.0,-1,22.3,0.0
153,3577,10,observe,1.0,0,9.0,-1,22.38,0.0
154,3600,23,observe,1.0,0,23.0,-1,22.1,0.0
154,3604,27,observe,1.0,1,26.0,-1,22.1,0.0
155,3616,12,observe,1.0,0,11.0,-1,21.98,0.0
156,3646,30,observe,1.0,0,29.0,-1,22.01,0.0
157,3673,27,observe,1.0,0,26.0,-1,22.15,0.0
158,3691,18,observe,1.0,1,17.0,-1,22.29,0.0
159,3741,50,observe,1.0,1,49.0,-1,22.08,0.0
160,3771,30,observe,1.0,0,29.0,-1,22.35,0.0
161,3780,9,observe,1.0,0,8.0,-1,22.34,0.0
162,3800,20,observe,1.0,1,20.0,-1,22.27,0.0
162,3821,41,observe,1.0,1,40.0,-1,22.27,0.0
163,3844,23,observe,1.0,0,22.0,-1,22.15,0.0
164,3862,18,observe,1.0,1,17.0,-1,22.24,0.0
165,3938,76,observe,1.0,0,75.0,-1,21.98,0.0
166,3951,13,observe,1.0,0,12.0,-1,22.46,0.0
167,3975,24,observe,1.0,0,23.0,-1,22.36,0.0
168,4000,25,observe,1.0,0,25.0,-1,22.41,0.0
168,4009,34,observe,1.0,1,33.0,-1,22.41,0.0
169,4032,23,observe,1.0,0,22.0,-1,22.41,0.0
170,4058,26,observe,1.0,1,25.0,-1,22.54,0.0
171,4070,12,observe,1.0,0,11.0,-1,22.59,0.0
172,4085,15,observe,1.0,0,14.0,-1,22.52,0.0
173,4099,14,observe,1.0,1,13.0,-1,22.49,0.0
174,4115,16,observe,1.0,1,15.0,-1,22.43,0.0
175,4167,52,observe,1.0,0,51.0,-1,22.46,0.0
176,4180,13,observe,1.0,0,12.0,-1,22.67,0.0
177,4190,10,observe,1.0,0,9.0,-1,22.59,0.0
178,4200,10,observe,1.0,1,10.0,-1,22.54,0.0
178,4201,11,observe,1.0,0,10.0,-1,22.54,0.0
179,4229,28,observe,1.0,0,27.0,-1,22.28,0.0
180,4247,18,observe,1.0,1,17.0,-1,22.2,0.0
181,4265,18,observe,1.0,0,17.0,-1,21.79,0.0
182,4288,23,observe,1.0,0,22.0,-1,21.8,0.0
183,4299,11,observe,1.0,1,10.0,-1,21.93,0.0
184,4313,14,observe,1.0,0,13.0,-1,21.89,0.0
185,4342,29,observe,1.0,1,28.0,-1,21.87,0.0
186,4383,41,observe,1.0,0,40.0,-1,21.85,0.0
187,4399,16,observe,1.0,1,15.0,-1,21.89,0.0
188,4400,1,observe,1.0,1,1.0,-1,21.87,0.0
188,4412,13,observe,1.0,1,12.0,-1,21.87,0.0
189,4431,19,observe,1.0,0,18.0,-1,21.88,0.0
190,4452,21,observe,1.0,0,20.0,-1,21.91,0.0
191,4463,11,observe,1.0,1,10.0,-1,22.01,0.0
192,4483,20,observe,1.0,0,19.0,-1,21.78,0.0
193,4503,20,observe,1.0,0,19.0,-1,21.83,0.0
194,4527,24,observe,1.0,1,23.0,-1,21.67,0.0
195,4545,18,observe,1.0,0,17.0,-1,21.72,0.0
196,4561,16,observe,1.0,1,15.0,-1,21.73,0.0
197,4600,39,observe,1.0,0,38.0,-1,21.69,0.0
198,4623,23,observe,1.0,0,22.0,-1,21.93,0.0
199,4634,11,observe,1.0,0,10.0,-1,22.05,0.0
200,4667,33,observe,1.0,1,32.0,-1,21.85,0.0
201,4681,14,observe,1.0,0,13.0,-1,21.93,0.0
202,4709,28,observe,1.0,1,27.0,-1,21.87,0.0
203,4723,14,observe,1.0,1,13.0,-1,21.96,0.0
204,4740,17,observe,1.0,0,16.0,-1,21.85,0.0
205,4782,42,observe,1.0,0,41.0,-1,21.93,0.0
206,4793,11,observe,1.0,0,10.0,-1,22.13,0.0
207,4800,7,observe,1.0,0,7.0,-1,22.04,0.0
207,4815,22,observe,1.0,1,21.0,-1,22.04,0.0
208,4853,38,observe,1.0,0,37.0,-1,22.09,0.0
209,4886,33,observe,1.0,1,32.0,-1,22.3,0.0
210,4900,14,observe,1.0,1,13.0,-1,22.52,0.0
211,4915,15,observe,1.0,0,14.0,-1,22.52,0.0
212,4935,20,observe,1.0,0,19.0,-1,22.54,0.0
213,4947,12,observe,1.0,0,11.0,-1,22.48,0.0
214,4956,9,observe,1.0,0,8.0,-1,22.39,0.0
215,4992,36,observe,1.0,0,35.0,-1,22.35,0.0
216,5000,8,observe,0.99991,0,8.0,-1,22.53,0.0
216,5010,18,explore,0.9990099999999996,1,17.0,-1,22.53,0.02726301282644272
217,5025,15,explore,0.9976599999999991,0,14.0,-1,22.46,0.0389280366897583
218,5036,11,explore,0.9966699999999987,0,10.0,-1,22.45,0.028427483141422273
219,5057,21,explore,0.994779999999998,0,20.0,-1,22.22,0.04631174325942993
220,5079,22,explore,0.9927999999999972,0,21.0,-1,22.27,0.04735083878040314
221,5094,15,explore,0.9914499999999967,0,14.0,-1,22.34,0.016115089878439903
222,5106,12,explore,0.9903699999999963,0,11.0,-1,22.33,0.021945728808641433
223,5142,36,explore,0.9871299999999951,0,35.0,-1,22.27,0.017788256506901235
224,5160,18,explore,0.9855099999999944,1,17.0,-1,21.95,0.0341151902556885
225,5184,24,explore,0.9833499999999936,0,23.0,-1,21.86,0.016618029010714963
226,5200,16,explore,0.9819099999999931,0,16.0,-1,21.69,0.033494031094014644
226,5212,28,explore,0.9808299999999927,1,27.0,-1,21.69,0.04754458028823137
227,5225,13,explore,0.9796599999999922,0,12.0,[[4.0653043 3.9683704]],21.84,0.009288167171180249
228,5247,22,explore,0.9776799999999914,0,21.0,[[3.8086457 3.8395414]],21.77,0.03470927709713578
229,5256,9,explore,0.9768699999999911,1,8.0,-1,21.52,0.0169293225556612
230,5278,22,explore,0.9748899999999904,1,21.0,-1,21.09,0.04242947824648582
231,5287,9,explore,0.9740799999999901,0,8.0,[[6.3970056 6.045027 ]],21.17,0.013371269851922989
232,5296,9,explore,0.9732699999999898,1,8.0,-1,21.13,0.03088839529082179
233,5313,17,explore,0.9717399999999892,0,16.0,[[5.96339  5.705293]],21.07,0.03810579045675695
234,5340,27,explore,0.9693099999999882,0,26.0,-1,21.01,0.06274230576353147
235,5355,15,explore,0.9679599999999877,1,14.0,-1,21.15,0.020557053652592003
236,5398,43,explore,0.9640899999999862,1,42.0,[[9.154742 9.024357]],21.03,0.08861118368804455
237,5400,2,explore,0.9639099999999862,1,2.0,-1,20.89,0.005351953059434891
237,5453,55,explore,0.9591399999999843,1,54.0,[[8.543935 8.328191]],20.89,0.09787806446256582
238,5488,35,explore,0.9559899999999831,0,34.0,[[10.240863  9.982234]],21.29,0.07965459858532994
239,5511,23,explore,0.9539199999999823,0,22.0,[[10.687655 10.384471]],21.48,0.041619087422732265
240,5524,13,explore,0.9527499999999819,0,12.0,[[12.685556 12.236181]],21.41,0.03748360693454742
241,5544,20,explore,0.9509499999999812,0,19.0,[[12.1417885 11.862436 ]],21.1,0.05590595606947318
242,5561,17,explore,0.9494199999999806,0,16.0,-1,21.02,0.05921093545854092
243,5571,10,explore,0.9485199999999803,1,9.0,[[11.147272 11.164596]],20.93,0.021357389762997628
244,5592,21,explore,0.9466299999999795,0,20.0,[[13.716283 13.345033]],20.82,0.0675086009746883
245,5600,8,explore,0.9459099999999793,1,8.0,[[12.759921  12.2069645]],20.91,0.03255272924900055
