#Episode,#Frame,#Epsode Timesteps,Total episode score,Last Mean Batch Loss
0,33,33,32.0,0.0
1,45,12,11.0,0.0
2,76,31,30.0,0.0
3,91,15,14.0,0.0
4,111,20,19.0,0.0
5,128,17,16.0,0.0
6,141,13,12.0,0.0
7,166,25,24.0,0.0
8,200,34,33.0,0.0
9,210,10,9.0,0.0
10,223,13,12.0,0.0
11,242,19,18.0,0.0
12,256,14,13.0,0.0
13,291,35,34.0,0.0
14,310,19,18.0,0.0
15,321,11,10.0,0.0
16,373,52,51.0,0.0
17,388,15,14.0,0.0
18,408,20,19.0,0.0
19,421,13,12.0,0.0
20,446,25,24.0,0.0
21,464,18,17.0,0.0
22,477,13,12.0,0.0
23,492,15,14.0,0.0
24,508,16,15.0,0.0
25,520,12,11.0,0.0
26,534,14,13.0,0.0
27,555,21,20.0,0.0
28,573,18,17.0,0.0
29,596,23,22.0,0.0
30,623,27,26.0,0.0
31,660,37,36.0,0.0
32,676,16,15.0,0.0
33,695,19,18.0,0.0
34,718,23,22.0,0.0
35,743,25,24.0,0.0
36,763,20,19.0,0.0
37,782,19,18.0,0.0
38,823,41,40.0,0.0
39,839,16,15.0,0.0
40,873,34,33.0,0.0
41,888,15,14.0,0.0
42,928,40,39.0,0.0
43,940,12,11.0,0.0
44,973,33,32.0,0.0
45,1022,49,48.0,0.0
46,1034,12,11.0,0.0
47,1045,11,10.0,0.0
48,1055,10,9.0,0.0
49,1064,9,8.0,0.0
50,1083,19,18.0,0.0
51,1101,18,17.0,0.0
52,1132,31,30.0,0.0
53,1143,11,10.0,0.0
54,1171,28,27.0,0.0
55,1201,30,29.0,0.0
56,1232,31,30.0,0.0
57,1258,26,25.0,0.0
58,1278,20,19.0,0.0
59,1293,15,14.0,0.0
60,1343,50,49.0,0.0
61,1357,14,13.0,0.0
62,1382,25,24.0,0.0
63,1392,10,9.0,0.0
64,1405,13,12.0,0.0
65,1423,18,17.0,0.0
66,1453,30,29.0,0.0
67,1476,23,22.0,0.0
68,1498,22,21.0,0.0
69,1511,13,12.0,0.0
70,1561,50,49.0,0.0
71,1576,15,14.0,0.0
72,1602,26,25.0,0.0
73,1616,14,13.0,0.0
74,1636,20,19.0,0.0
75,1652,16,15.0,0.0
76,1680,28,27.0,0.0
77,1695,15,14.0,0.0
78,1707,12,11.0,0.0
79,1720,13,12.0,0.0
80,1735,15,14.0,0.0
81,1758,23,22.0,0.0
82,1768,10,9.0,0.0
83,1778,10,9.0,0.0
84,1788,10,9.0,0.0
85,1815,27,26.0,0.0
86,1837,22,21.0,0.0
87,1853,16,15.0,0.0
88,1866,13,12.0,0.0
89,1901,35,34.0,0.0
90,1910,9,8.0,0.0
91,1924,14,13.0,0.0
92,1938,14,13.0,0.0
93,1955,17,16.0,0.0
94,1967,12,11.0,0.0
95,1994,27,26.0,0.0
96,2012,18,17.0,0.0
97,2033,21,20.0,0.0
98,2055,22,21.0,0.0
99,2087,32,31.0,0.0
100,2097,10,9.0,0.0
101,2119,22,21.0,0.0
102,2130,11,10.0,0.0
103,2146,16,15.0,0.0
104,2162,16,15.0,0.0
105,2190,28,27.0,0.0
106,2233,43,42.0,0.0
107,2247,14,13.0,0.0
108,2290,43,42.0,0.0
109,2309,19,18.0,0.0
110,2321,12,11.0,0.0
111,2346,25,24.0,0.0
112,2376,30,29.0,0.0
113,2395,19,18.0,0.0
114,2421,26,25.0,0.0
115,2434,13,12.0,0.0
116,2463,29,28.0,0.0
117,2477,14,13.0,0.0
118,2520,43,42.0,0.0
119,2548,28,27.0,0.0
120,2589,41,40.0,0.0
121,2606,17,16.0,0.0
122,2623,17,16.0,0.0
123,2641,18,17.0,0.0
124,2658,17,16.0,0.0
125,2669,11,10.0,0.0
126,2696,27,26.0,0.0
127,2730,34,33.0,0.0
128,2742,12,11.0,0.0
129,2803,61,60.0,0.0
130,2816,13,12.0,0.0
131,2828,12,11.0,0.0
132,2854,26,25.0,0.0
133,2866,12,11.0,0.0
134,2899,33,32.0,0.0
135,2917,18,17.0,0.0
136,2928,11,10.0,0.0
137,2946,18,17.0,0.0
138,2975,29,28.0,0.0
139,2998,23,22.0,0.0
140,3018,20,19.0,0.0
141,3031,13,12.0,0.0
142,3055,24,23.0,0.0
143,3083,28,27.0,0.0
144,3100,17,16.0,0.0
145,3127,27,26.0,0.0
146,3152,25,24.0,0.0
147,3175,23,22.0,0.0
148,3228,53,52.0,0.0
149,3247,19,18.0,0.0
150,3263,16,15.0,0.0
151,3281,18,17.0,0.0
152,3301,20,19.0,0.0
153,3314,13,12.0,0.0
154,3329,15,14.0,0.0
155,3340,11,10.0,0.0
156,3360,20,19.0,0.0
157,3378,18,17.0,0.0
