EPISODE,TOTAL FRAMES,FRAME,STATE,EPSILON,ACTION,REWARD,Q_MAX,MEAN REWARD,Last Batch Loss Mean
0,33,33,observe,1.0,0,32.0,-1,0.0,0.0
1,45,12,observe,1.0,1,11.0,-1,0.32,0.0
2,76,31,observe,1.0,0,30.0,-1,0.43,0.0
3,91,15,observe,1.0,0,14.0,-1,0.73,0.0
4,111,20,observe,1.0,0,19.0,-1,0.87,0.0
5,128,17,observe,1.0,1,16.0,-1,1.06,0.0
6,141,13,observe,1.0,1,12.0,-1,1.22,0.0
7,166,25,observe,1.0,0,24.0,-1,1.34,0.0
8,200,34,observe,1.0,0,33.0,-1,1.58,0.0
9,210,10,observe,1.0,0,9.0,-1,1.91,0.0
10,223,13,observe,1.0,1,12.0,-1,2.0,0.0
11,242,19,observe,1.0,1,18.0,-1,2.12,0.0
12,256,14,observe,1.0,1,13.0,-1,2.3,0.0
13,291,35,observe,1.0,0,34.0,-1,2.43,0.0
14,310,19,observe,1.0,0,18.0,-1,2.77,0.0
15,321,11,observe,1.0,0,10.0,-1,2.95,0.0
16,373,52,observe,1.0,1,51.0,-1,3.05,0.0
17,388,15,observe,1.0,1,14.0,-1,3.56,0.0
18,400,12,observe,1.0,1,12.0,-1,3.7,0.0
18,408,20,observe,1.0,0,19.0,-1,3.7,0.0
19,421,13,observe,1.0,0,12.0,-1,3.89,0.0
20,446,25,observe,1.0,0,24.0,-1,4.01,0.0
21,464,18,observe,1.0,1,17.0,-1,4.25,0.0
22,477,13,observe,1.0,1,12.0,-1,4.42,0.0
23,492,15,observe,1.0,1,14.0,-1,4.54,0.0
24,508,16,observe,1.0,1,15.0,-1,4.68,0.0
25,520,12,observe,1.0,1,11.0,-1,4.83,0.0
26,534,14,observe,1.0,1,13.0,-1,4.94,0.0
27,555,21,observe,1.0,1,20.0,-1,5.07,0.0
28,573,18,observe,1.0,0,17.0,-1,5.27,0.0
29,596,23,observe,1.0,0,22.0,-1,5.44,0.0
30,600,4,observe,1.0,0,4.0,-1,5.66,0.0
30,623,27,observe,1.0,1,26.0,-1,5.66,0.0
31,660,37,observe,1.0,0,36.0,-1,5.92,0.0
32,676,16,observe,1.0,1,15.0,-1,6.28,0.0
33,695,19,observe,1.0,1,18.0,-1,6.43,0.0
34,718,23,observe,1.0,1,22.0,-1,6.61,0.0
35,743,25,observe,1.0,1,24.0,-1,6.83,0.0
36,763,20,observe,1.0,0,19.0,-1,7.07,0.0
37,782,19,observe,1.0,1,18.0,-1,7.26,0.0
38,800,18,observe,1.0,0,18.0,-1,7.44,0.0
38,823,41,observe,1.0,0,40.0,-1,7.44,0.0
39,839,16,observe,1.0,1,15.0,-1,7.84,0.0
40,873,34,observe,1.0,0,33.0,-1,7.99,0.0
41,888,15,observe,1.0,0,14.0,-1,8.32,0.0
42,928,40,observe,1.0,1,39.0,-1,8.46,0.0
43,940,12,observe,1.0,1,11.0,-1,8.85,0.0
44,973,33,observe,1.0,1,32.0,-1,8.96,0.0
45,1000,27,observe,1.0,1,27.0,-1,9.28,0.0
45,1022,49,observe,1.0,0,48.0,-1,9.28,0.0
46,1034,12,observe,1.0,0,11.0,-1,9.76,0.0
47,1045,11,observe,1.0,0,10.0,-1,9.87,0.0
48,1055,10,observe,1.0,0,9.0,-1,9.97,0.0
49,1064,9,observe,1.0,1,8.0,-1,10.06,0.0
50,1083,19,observe,1.0,1,18.0,-1,10.14,0.0
51,1101,18,observe,1.0,1,17.0,-1,10.32,0.0
52,1132,31,observe,1.0,1,30.0,-1,10.49,0.0
53,1143,11,observe,1.0,1,10.0,-1,10.79,0.0
54,1171,28,observe,1.0,1,27.0,-1,10.89,0.0
55,1200,29,observe,1.0,1,29.0,-1,11.16,0.0
55,1201,30,observe,1.0,0,29.0,-1,11.16,0.0
56,1232,31,observe,1.0,0,30.0,-1,11.45,0.0
57,1258,26,observe,1.0,1,25.0,-1,11.75,0.0
58,1278,20,observe,1.0,1,19.0,-1,12.0,0.0
59,1293,15,observe,1.0,0,14.0,-1,12.19,0.0
60,1343,50,observe,1.0,1,49.0,-1,12.33,0.0
61,1357,14,observe,1.0,1,13.0,-1,12.82,0.0
62,1382,25,observe,1.0,1,24.0,-1,12.95,0.0
63,1392,10,observe,1.0,1,9.0,-1,13.19,0.0
64,1400,8,observe,1.0,0,8.0,-1,13.28,0.0
64,1405,13,observe,1.0,1,12.0,-1,13.28,0.0
65,1423,18,observe,1.0,1,17.0,-1,13.4,0.0
66,1453,30,observe,1.0,0,29.0,-1,13.57,0.0
67,1476,23,observe,1.0,1,22.0,-1,13.86,0.0
68,1498,22,observe,1.0,1,21.0,-1,14.08,0.0
69,1511,13,observe,1.0,1,12.0,-1,14.29,0.0
70,1561,50,observe,1.0,0,49.0,-1,14.41,0.0
71,1576,15,observe,1.0,1,14.0,-1,14.9,0.0
72,1600,24,observe,1.0,1,24.0,-1,15.04,0.0
