#Episode,#Frame,#Epsode Timesteps,Total episode score,Last Mean Batch Loss
0,15,15,14.0,0.0
1,41,26,25.0,0.0
2,51,10,9.0,0.0
3,61,10,9.0,0.0
4,75,14,13.0,0.0
5,102,27,26.0,0.0
6,129,27,26.0,0.0
7,150,21,20.0,0.0
8,170,20,19.0,0.0
9,188,18,17.0,0.0
10,199,11,10.0,0.0
11,214,15,14.0,0.0
12,233,19,18.0,0.0
13,250,17,16.0,0.0
14,264,14,13.0,0.0
15,275,11,10.0,0.0
16,293,18,17.0,0.0
17,313,20,19.0,0.0
18,336,23,22.0,0.0
19,349,13,12.0,0.0
20,362,13,12.0,0.0
21,380,18,17.0,0.0
22,406,26,25.0,0.0
23,472,66,65.0,0.0
24,497,25,24.0,0.0
25,506,9,8.0,0.0
26,528,22,21.0,0.0
27,547,19,18.0,0.0
28,591,44,43.0,0.0
29,602,11,10.0,0.0
30,616,14,13.0,0.0
31,634,18,17.0,0.0
32,646,12,11.0,0.0
33,697,51,50.0,0.0
34,719,22,21.0,0.0
35,739,20,19.0,0.0
36,752,13,12.0,0.0
37,774,22,21.0,0.0
38,800,26,25.0,0.0
39,818,18,17.0,0.0
40,831,13,12.0,0.0
41,862,31,30.0,0.0
42,878,16,15.0,0.0
43,897,19,18.0,0.0
44,905,8,7.0,0.0
45,925,20,19.0,0.0
46,934,9,8.0,0.0
47,946,12,11.0,0.0
48,958,12,11.0,0.0
49,982,24,23.0,0.0
50,999,17,16.0,0.0
51,1026,27,26.0,0.0
52,1047,21,20.0,0.0
53,1069,22,21.0,0.0
54,1090,21,20.0,0.0
55,1104,14,13.0,0.0
56,1122,18,17.0,0.0
57,1153,31,30.0,0.0
58,1169,16,15.0,0.0
59,1183,14,13.0,0.0
60,1203,20,19.0,0.0
61,1212,9,8.0,0.0
62,1228,16,15.0,0.0
63,1254,26,25.0,0.0
64,1265,11,10.0,0.0
65,1278,13,12.0,0.0
66,1290,12,11.0,0.0
67,1306,16,15.0,0.0
68,1322,16,15.0,0.0
69,1342,20,19.0,0.0
70,1359,17,16.0,0.0
71,1385,26,25.0,0.0
72,1399,14,13.0,0.0
73,1423,24,23.0,0.0
74,1443,20,19.0,0.0
75,1498,55,54.0,0.0
76,1516,18,17.0,0.0
77,1530,14,13.0,0.0
78,1539,9,8.0,0.0
79,1551,12,11.0,0.0
80,1566,15,14.0,0.0
81,1581,15,14.0,0.0
82,1602,21,20.0,0.0
83,1632,30,29.0,0.0
84,1646,14,13.0,0.0
85,1685,39,38.0,0.0
86,1700,15,14.0,0.0
87,1732,32,31.0,0.0
88,1747,15,14.0,0.0
89,1791,44,43.0,0.0
90,1824,33,32.0,0.0
91,1878,54,53.0,0.0
92,1941,63,62.0,0.0
93,1971,30,29.0,0.0
94,1986,15,14.0,0.0
95,2006,20,19.0,0.0
96,2023,17,16.0,0.0
97,2041,18,17.0,0.0
98,2055,14,13.0,0.0
99,2069,14,13.0,0.0
100,2081,12,11.0,0.0
101,2101,20,19.0,0.0
102,2138,37,36.0,0.0
103,2176,38,37.0,0.0
104,2197,21,20.0,0.0
105,2221,24,23.0,0.0
106,2237,16,15.0,0.0
107,2261,24,23.0,0.0
108,2296,35,34.0,0.0
109,2310,14,13.0,0.0
110,2336,26,25.0,0.0
111,2379,43,42.0,0.0
112,2389,10,9.0,0.0
113,2412,23,22.0,0.0
114,2426,14,13.0,0.0
115,2461,35,34.0,0.0
116,2474,13,12.0,0.0
117,2502,28,27.0,0.0
118,2516,14,13.0,0.0
119,2533,17,16.0,0.0
120,2562,29,28.0,0.0
121,2573,11,10.0,0.0
122,2584,11,10.0,0.0
123,2607,23,22.0,0.0
124,2622,15,14.0,0.0
125,2633,11,10.0,0.0
126,2682,49,48.0,0.0
127,2711,29,28.0,0.0
128,2729,18,17.0,0.0
129,2746,17,16.0,0.0
130,2806,60,59.0,0.0
131,2822,16,15.0,0.0
132,2836,14,13.0,0.0
133,2865,29,28.0,0.0
134,2886,21,20.0,0.0
135,2903,17,16.0,0.0
136,2949,46,45.0,0.0
137,2971,22,21.0,0.0
138,2984,13,12.0,0.0
139,3018,34,33.0,0.0
140,3032,14,13.0,0.0
141,3054,22,21.0,0.0
142,3067,13,12.0,0.0
143,3082,15,14.0,0.0
144,3104,22,21.0,0.0
145,3123,19,18.0,0.0
146,3166,43,42.0,0.0
147,3204,38,37.0,0.0
148,3221,17,16.0,0.0
149,3256,35,34.0,0.0
