EPISODE,TOTAL FRAMES,FRAME,STATE,EPSILON,ACTION,REWARD,Q_MAX,MEAN REWARD,Last Batch Loss Mean
0,15,15,observe,1.0,1,14.0,-1,0.0,0.0
1,41,26,observe,1.0,0,25.0,-1,0.14,0.0
2,51,10,observe,1.0,1,9.0,-1,0.39,0.0
3,61,10,observe,1.0,1,9.0,-1,0.48,0.0
4,75,14,observe,1.0,0,13.0,-1,0.57,0.0
5,102,27,observe,1.0,1,26.0,-1,0.7,0.0
6,129,27,observe,1.0,0,26.0,-1,0.96,0.0
7,150,21,observe,1.0,0,20.0,-1,1.22,0.0
8,170,20,observe,1.0,0,19.0,-1,1.42,0.0
9,188,18,observe,1.0,1,17.0,-1,1.61,0.0
10,199,11,observe,1.0,1,10.0,-1,1.78,0.0
11,200,1,observe,1.0,1,1.0,-1,1.88,0.0
11,214,15,observe,1.0,0,14.0,-1,1.88,0.0
12,233,19,observe,1.0,1,18.0,-1,2.02,0.0
13,250,17,observe,1.0,0,16.0,-1,2.2,0.0
14,264,14,observe,1.0,0,13.0,-1,2.36,0.0
15,275,11,observe,1.0,1,10.0,-1,2.49,0.0
16,293,18,observe,1.0,0,17.0,-1,2.59,0.0
17,313,20,observe,1.0,1,19.0,-1,2.76,0.0
18,336,23,observe,1.0,1,22.0,-1,2.95,0.0
19,349,13,observe,1.0,1,12.0,-1,3.17,0.0
20,362,13,observe,1.0,1,12.0,-1,3.29,0.0
21,380,18,observe,1.0,0,17.0,-1,3.41,0.0
22,400,20,observe,1.0,0,20.0,-1,3.58,0.0
22,406,26,observe,1.0,0,25.0,-1,3.58,0.0
23,472,66,observe,1.0,0,65.0,-1,3.83,0.0
24,497,25,observe,1.0,0,24.0,-1,4.48,0.0
25,506,9,observe,1.0,1,8.0,-1,4.72,0.0
26,528,22,observe,1.0,1,21.0,-1,4.8,0.0
27,547,19,observe,1.0,0,18.0,-1,5.01,0.0
28,591,44,observe,1.0,1,43.0,-1,5.19,0.0
29,600,9,observe,1.0,0,9.0,-1,5.62,0.0
29,602,11,observe,1.0,1,10.0,-1,5.62,0.0
30,616,14,observe,1.0,1,13.0,-1,5.72,0.0
31,634,18,observe,1.0,1,17.0,-1,5.85,0.0
32,646,12,observe,1.0,0,11.0,-1,6.02,0.0
33,697,51,observe,1.0,1,50.0,-1,6.13,0.0
34,719,22,observe,1.0,0,21.0,-1,6.63,0.0
35,739,20,observe,1.0,0,19.0,-1,6.84,0.0
36,752,13,observe,1.0,0,12.0,-1,7.03,0.0
37,774,22,observe,1.0,1,21.0,-1,7.15,0.0
38,800,26,observe,1.0,1,25.0,-1,7.36,0.0
39,818,18,observe,1.0,0,17.0,-1,7.61,0.0
40,831,13,observe,1.0,0,12.0,-1,7.78,0.0
41,862,31,observe,1.0,1,30.0,-1,7.9,0.0
42,878,16,observe,1.0,0,15.0,-1,8.2,0.0
43,897,19,observe,1.0,0,18.0,-1,8.35,0.0
44,905,8,observe,1.0,1,7.0,-1,8.53,0.0
45,925,20,observe,1.0,1,19.0,-1,8.6,0.0
46,934,9,observe,1.0,1,8.0,-1,8.79,0.0
47,946,12,observe,1.0,1,11.0,-1,8.87,0.0
48,958,12,observe,1.0,0,11.0,-1,8.98,0.0
49,982,24,observe,1.0,1,23.0,-1,9.09,0.0
50,999,17,observe,1.0,0,16.0,-1,9.32,0.0
51,1000,1,observe,1.0,1,1.0,-1,9.48,0.0
51,1026,27,observe,1.0,0,26.0,-1,9.48,0.0
52,1047,21,observe,1.0,0,20.0,-1,9.74,0.0
53,1069,22,observe,1.0,0,21.0,-1,9.94,0.0
54,1090,21,observe,1.0,1,20.0,-1,10.15,0.0
55,1104,14,observe,1.0,1,13.0,-1,10.35,0.0
56,1122,18,observe,1.0,1,17.0,-1,10.48,0.0
57,1153,31,observe,1.0,0,30.0,-1,10.65,0.0
58,1169,16,observe,1.0,1,15.0,-1,10.95,0.0
59,1183,14,observe,1.0,1,13.0,-1,11.1,0.0
60,1200,17,observe,1.0,0,17.0,-1,11.23,0.0
60,1203,20,observe,1.0,0,19.0,-1,11.23,0.0
61,1212,9,observe,1.0,1,8.0,-1,11.42,0.0
62,1228,16,observe,1.0,0,15.0,-1,11.5,0.0
63,1254,26,observe,1.0,1,25.0,-1,11.65,0.0
64,1265,11,observe,1.0,1,10.0,-1,11.9,0.0
65,1278,13,observe,1.0,0,12.0,-1,12.0,0.0
66,1290,12,observe,1.0,0,11.0,-1,12.12,0.0
67,1306,16,observe,1.0,0,15.0,-1,12.23,0.0
68,1322,16,observe,1.0,1,15.0,-1,12.38,0.0
69,1342,20,observe,1.0,1,19.0,-1,12.53,0.0
70,1359,17,observe,1.0,0,16.0,-1,12.72,0.0
71,1385,26,observe,1.0,0,25.0,-1,12.88,0.0
72,1399,14,observe,1.0,0,13.0,-1,13.13,0.0
73,1400,1,observe,1.0,1,1.0,-1,13.26,0.0
73,1423,24,observe,1.0,0,23.0,-1,13.26,0.0
74,1443,20,observe,1.0,1,19.0,-1,13.49,0.0
75,1498,55,observe,1.0,0,54.0,-1,13.68,0.0
