#Episode,#Frame,#Epsode Timesteps,Total episode score,Last Mean Batch Loss
0,19,19,18.0,0.0
1,50,31,30.0,0.0
2,63,13,12.0,0.0
3,79,16,15.0,0.0
4,95,16,15.0,0.0
5,117,22,21.0,0.0
6,130,13,12.0,0.0
7,148,18,17.0,0.0
8,169,21,20.0,0.0
9,202,33,32.0,0.0
10,227,25,24.0,0.0
11,260,33,32.0,0.0
12,297,37,36.0,0.0
13,332,35,34.0,0.0
14,343,11,10.0,0.0
15,354,11,10.0,0.0
16,368,14,13.0,0.0
17,401,33,32.0,0.0
18,416,15,14.0,0.0
19,429,13,12.0,0.0
20,440,11,10.0,0.0
21,453,13,12.0,0.0
22,476,23,22.0,0.0
23,494,18,17.0,0.0
24,514,20,19.0,0.0
25,540,26,25.0,0.0
26,553,13,12.0,0.0
27,566,13,12.0,0.0
28,593,27,26.0,0.0
29,605,12,11.0,0.0
30,635,30,29.0,0.0
31,667,32,31.0,0.0
32,688,21,20.0,0.0
33,697,9,8.0,0.0
34,720,23,22.0,0.0
35,745,25,24.0,0.0
36,755,10,9.0,0.0
37,772,17,16.0,0.0
38,784,12,11.0,0.0
39,796,12,11.0,0.0
40,864,68,67.0,0.0
41,877,13,12.0,0.0
42,889,12,11.0,0.0
43,915,26,25.0,0.0
44,939,24,23.0,0.0
45,961,22,21.0,0.0
46,995,34,33.0,0.0
47,1041,46,45.0,0.0
48,1067,26,25.0,0.0
49,1083,16,15.0,0.0
50,1093,10,9.0,0.0
51,1108,15,14.0,0.0
52,1131,23,22.0,0.0
53,1144,13,12.0,0.0
54,1162,18,17.0,0.0
55,1195,33,32.0,0.0
56,1239,44,43.0,0.0
57,1261,22,21.0,0.0
58,1296,35,34.0,0.0
59,1310,14,13.0,0.0
60,1328,18,17.0,0.0
61,1346,18,17.0,0.0
62,1371,25,24.0,0.0
63,1383,12,11.0,0.0
64,1426,43,42.0,0.0
65,1444,18,17.0,0.0
66,1465,21,20.0,0.0
67,1479,14,13.0,0.0
68,1492,13,12.0,0.0
69,1507,15,14.0,0.0
70,1522,15,14.0,0.0
71,1533,11,10.0,0.0
72,1544,11,10.0,0.0
73,1587,43,42.0,0.0
74,1620,33,32.0,0.0
75,1629,9,8.0,0.0
76,1663,34,33.0,0.0
77,1676,13,12.0,0.0
78,1686,10,9.0,0.0
79,1700,14,13.0,0.0
80,1716,16,15.0,0.0
81,1728,12,11.0,0.0
82,1746,18,17.0,0.0
83,1756,10,9.0,0.0
84,1771,15,14.0,0.0
85,1781,10,9.0,0.0
86,1800,19,18.0,0.0
87,1810,10,9.0,0.0
88,1823,13,12.0,0.0
89,1832,9,8.0,0.0
90,1847,15,14.0,0.0
91,1868,21,20.0,0.0
92,1883,15,14.0,0.0
93,1911,28,27.0,0.0
94,1921,10,9.0,0.0
95,1949,28,27.0,0.0
96,1964,15,14.0,0.0
97,1987,23,22.0,0.0
98,1998,11,10.0,0.0
99,2012,14,13.0,0.0
100,2028,16,15.0,0.0
101,2040,12,11.0,0.0
102,2052,12,11.0,0.0
103,2072,20,19.0,0.0
104,2131,59,58.0,0.0
105,2146,15,14.0,0.0
106,2159,13,12.0,0.0
107,2185,26,25.0,0.0
108,2210,25,24.0,0.0
109,2228,18,17.0,0.0
110,2242,14,13.0,0.0
111,2253,11,10.0,0.0
112,2271,18,17.0,0.0
113,2283,12,11.0,0.0
114,2296,13,12.0,0.0
115,2318,22,21.0,0.0
116,2348,30,29.0,0.0
117,2371,23,22.0,0.0
118,2426,55,54.0,0.0
119,2484,58,57.0,0.0
120,2501,17,16.0,0.0
121,2531,30,29.0,0.0
122,2566,35,34.0,0.0
123,2583,17,16.0,0.0
124,2615,32,31.0,0.0
125,2631,16,15.0,0.0
126,2647,16,15.0,0.0
127,2664,17,16.0,0.0
128,2681,17,16.0,0.0
129,2717,36,35.0,0.0
130,2741,24,23.0,0.0
131,2808,67,66.0,0.0
132,2834,26,25.0,0.0
133,2845,11,10.0,0.0
134,2861,16,15.0,0.0
135,2875,14,13.0,0.0
136,2888,13,12.0,0.0
137,2904,16,15.0,0.0
138,2912,8,7.0,0.0
139,2986,74,73.0,0.0
140,3009,23,22.0,0.0
141,3034,25,24.0,0.0
142,3058,24,23.0,0.0
143,3073,15,14.0,0.0
144,3085,12,11.0,0.0
145,3137,52,51.0,0.0
146,3154,17,16.0,0.0
147,3174,20,19.0,0.0
148,3192,18,17.0,0.0
149,3207,15,14.0,0.0
150,3225,18,17.0,0.0
151,3240,15,14.0,0.0
152,3264,24,23.0,0.0
153,3278,14,13.0,0.0
154,3296,18,17.0,0.0
155,3310,14,13.0,0.0
156,3322,12,11.0,0.0
157,3335,13,12.0,0.0
158,3356,21,20.0,0.0
159,3404,48,47.0,0.0
160,3423,19,18.0,0.0
161,3456,33,32.0,0.0
162,3471,15,14.0,0.0
163,3511,40,39.0,0.0
164,3554,43,42.0,0.0
165,3571,17,16.0,0.0
166,3590,19,18.0,0.0
167,3636,46,45.0,0.0
168,3653,17,16.0,0.0
169,3669,16,15.0,0.0
170,3705,36,35.0,0.0
171,3718,13,12.0,0.0
172,3735,17,16.0,0.0
173,3760,25,24.0,0.0
174,3776,16,15.0,0.0
175,3793,17,16.0,0.0
176,3805,12,11.0,0.0
177,3821,16,15.0,0.0
178,3840,19,18.0,0.0
179,3862,22,21.0,0.0
180,3884,22,21.0,0.0
181,3904,20,19.0,0.0
182,3974,70,69.0,0.0
183,3992,18,17.0,0.0
184,4003,11,10.0,0.0
