EPISODE,TOTAL FRAMES,FRAME,STATE,EPSILON,ACTION,REWARD,Q_MAX,MEAN REWARD,Last Batch Loss Mean
9,200,31,observe,1.0,0,31.0,-1,1.6,0.0
17,400,32,observe,1.0,1,32.0,-1,3.51,0.0
29,600,7,observe,1.0,0,7.0,-1,5.64,0.0
40,800,4,observe,1.0,1,4.0,-1,7.56,0.0
47,1000,5,observe,1.0,1,5.0,-1,9.48,0.0
56,1200,5,observe,1.0,1,5.0,-1,11.39,0.0
64,1400,17,observe,1.0,1,17.0,-1,13.19,0.0
74,1600,13,observe,1.0,0,13.0,-1,15.13,0.0
86,1800,19,observe,1.0,0,18.0,-1,16.95,0.0
99,2000,2,observe,1.0,0,2.0,-1,18.99,0.0
108,2200,15,observe,1.0,0,15.0,-1,19.37,0.0
118,2400,29,observe,1.0,0,29.0,-1,18.7,0.0
124,2600,17,observe,1.0,1,17.0,-1,19.89,0.0
131,2800,59,observe,1.0,0,59.0,-1,20.06,0.0
140,3000,14,observe,1.0,1,14.0,-1,20.9,0.0
149,3200,8,observe,1.0,1,8.0,-1,20.25,0.0
159,3400,44,observe,1.0,1,44.0,-1,19.6,0.0
167,3600,10,observe,1.0,1,10.0,-1,20.25,0.0
176,3800,7,observe,1.0,0,7.0,-1,20.64,0.0
184,4000,8,observe,1.0,1,8.0,-1,21.36,0.0
194,4200,26,observe,1.0,0,26.0,-1,21.63,0.0
203,4400,11,observe,1.0,0,11.0,-1,22.37,0.0
211,4600,9,observe,1.0,0,9.0,-1,22.49,0.0
220,4800,21,observe,1.0,1,21.0,-1,21.95,0.0
227,5000,23,observe,0.99991,0,23.0,-1,22.3,0.0
238,5200,7,explore,0.9819099999999931,1,7.0,-1,21.89,0.04590281844139099
248,5400,5,explore,0.9639099999999862,1,5.0,-1,21.21,0.06575945794582366
258,5600,9,explore,0.9459099999999793,1,9.0,[[9.342884 9.840663]],21.56,0.21540219992399215
269,5800,2,explore,0.9279099999999724,0,2.0,-1,20.45,0.046027063131332396
277,6000,9,explore,0.9099099999999655,1,9.0,[[17.2808  17.87085]],20.86,0.1484900665283203
285,6200,38,explore,0.8919099999999586,1,38.0,[[23.915806 22.650093]],20.59,1.141197972893715
294,6400,36,explore,0.8739099999999517,0,36.0,[[24.74072  21.298948]],20.9,1.6135334992408752
301,6600,35,explore,0.8559099999999448,0,35.0,[[31.290112 29.195448]],21.35,1.4839148253202439
