#Episode,#Frame,#Epsode Timesteps,Total episode score,Last Mean Batch Loss
0,25,25,24.0,-1
1,70,45,44.0,-1
2,101,31,30.0,-1
3,127,26,25.0,-1
4,137,10,9.0,-1
5,161,24,23.0,-1
6,174,13,12.0,-1
7,204,30,29.0,-1
8,257,53,52.0,-1
9,283,26,25.0,-1
10,297,14,13.0,-1
11,309,12,11.0,-1
12,376,67,66.0,-1
13,411,35,34.0,-1
14,420,9,8.0,-1
15,446,26,25.0,-1
16,458,12,11.0,-1
17,472,14,13.0,-1
18,495,23,22.0,-1
19,523,28,27.0,-1
20,536,13,12.0,-1
21,561,25,24.0,-1
22,571,10,9.0,-1
23,585,14,13.0,-1
24,629,44,43.0,-1
25,658,29,28.0,-1
26,700,42,41.0,-1
27,727,27,26.0,-1
28,742,15,14.0,-1
29,753,11,10.0,-1
30,793,40,39.0,-1
31,810,17,16.0,-1
32,837,27,26.0,-1
33,847,10,9.0,-1
34,859,12,11.0,-1
35,897,38,37.0,-1
36,911,14,13.0,-1
37,932,21,20.0,-1
38,957,25,24.0,-1
39,988,31,30.0,-1
40,1010,22,21.0,-1
41,1023,13,12.0,-1
42,1038,15,14.0,-1
43,1067,29,28.0,-1
44,1086,19,18.0,-1
45,1110,24,23.0,-1
46,1122,12,11.0,-1
47,1143,21,20.0,-1
48,1155,12,11.0,-1
49,1181,26,25.0,-1
50,1194,13,12.0,-1
51,1204,10,9.0,-1
52,1219,15,14.0,-1
53,1232,13,12.0,-1
54,1245,13,12.0,-1
55,1253,8,7.0,-1
56,1274,21,20.0,-1
57,1323,49,48.0,-1
58,1338,15,14.0,-1
59,1350,12,11.0,-1
60,1366,16,15.0,-1
61,1378,12,11.0,-1
62,1391,13,12.0,-1
63,1401,10,9.0,-1
64,1415,14,13.0,-1
65,1436,21,20.0,-1
66,1460,24,23.0,-1
67,1472,12,11.0,-1
68,1518,46,45.0,-1
69,1529,11,10.0,-1
70,1546,17,16.0,-1
71,1563,17,16.0,-1
72,1577,14,13.0,-1
73,1597,20,19.0,-1
74,1606,9,8.0,-1
75,1632,26,25.0,-1
76,1658,26,25.0,-1
77,1670,12,11.0,-1
78,1685,15,14.0,-1
79,1697,12,11.0,-1
80,1709,12,11.0,-1
81,1726,17,16.0,-1
82,1739,13,12.0,-1
83,1767,28,27.0,-1
84,1787,20,19.0,-1
85,1812,25,24.0,-1
86,1846,34,33.0,-1
87,1865,19,18.0,-1
