EPISODE,TOTAL FRAMES,FRAME,STATE,EPSILON,ACTION,REWARD,Q_MAX,MEAN REWARD,Last Batch Loss Mean
0,25,25,observe,1.0,1,24.0,-1,0.0,-1
1,70,45,observe,1.0,1,44.0,-1,0.24,-1
2,101,31,observe,1.0,1,30.0,-1,0.68,-1
3,127,26,observe,1.0,1,25.0,-1,0.98,-1
4,137,10,observe,1.0,1,9.0,-1,1.23,-1
5,161,24,observe,1.0,1,23.0,-1,1.32,-1
6,174,13,observe,1.0,1,12.0,-1,1.55,-1
7,200,26,observe,1.0,0,26.0,-1,1.67,-1
7,204,30,observe,1.0,0,29.0,-1,1.67,-1
8,257,53,observe,1.0,0,52.0,-1,1.96,-1
9,283,26,observe,1.0,0,25.0,-1,2.48,-1
10,297,14,observe,1.0,1,13.0,-1,2.73,-1
11,309,12,observe,1.0,1,11.0,-1,2.86,-1
12,376,67,observe,1.0,0,66.0,-1,2.97,-1
13,400,24,observe,1.0,1,24.0,-1,3.63,-1
13,411,35,observe,1.0,1,34.0,-1,3.63,-1
14,420,9,observe,1.0,0,8.0,-1,3.97,-1
15,446,26,observe,1.0,1,25.0,-1,4.05,-1
16,458,12,observe,1.0,0,11.0,-1,4.3,-1
17,472,14,observe,1.0,1,13.0,-1,4.41,-1
18,495,23,observe,1.0,1,22.0,-1,4.54,-1
19,523,28,observe,1.0,0,27.0,-1,4.76,-1
20,536,13,observe,1.0,0,12.0,-1,5.03,-1
21,561,25,observe,1.0,1,24.0,-1,5.15,-1
22,571,10,observe,1.0,1,9.0,-1,5.39,-1
23,585,14,observe,1.0,1,13.0,-1,5.48,-1
24,600,15,observe,1.0,0,15.0,-1,5.61,-1
24,629,44,observe,1.0,0,43.0,-1,5.61,-1
25,658,29,observe,1.0,1,28.0,-1,6.04,-1
26,700,42,observe,1.0,0,41.0,-1,6.32,-1
27,727,27,observe,1.0,1,26.0,-1,6.73,-1
28,742,15,observe,1.0,1,14.0,-1,6.99,-1
29,753,11,observe,1.0,0,10.0,-1,7.13,-1
30,793,40,observe,1.0,1,39.0,-1,7.23,-1
31,800,7,observe,1.0,1,7.0,-1,7.62,-1
31,810,17,observe,1.0,0,16.0,-1,7.62,-1
32,837,27,observe,1.0,0,26.0,-1,7.78,-1
33,847,10,observe,1.0,0,9.0,-1,8.04,-1
34,859,12,observe,1.0,0,11.0,-1,8.13,-1
35,897,38,observe,1.0,0,37.0,-1,8.24,-1
36,911,14,observe,1.0,0,13.0,-1,8.61,-1
37,932,21,observe,1.0,1,20.0,-1,8.74,-1
38,957,25,observe,1.0,1,24.0,-1,8.94,-1
39,988,31,observe,1.0,0,30.0,-1,9.18,-1
40,1000,12,observe,1.0,0,12.0,-1,9.48,-1
40,1010,22,observe,1.0,1,21.0,-1,9.48,-1
41,1023,13,observe,1.0,1,12.0,-1,9.69,-1
42,1038,15,observe,1.0,0,14.0,-1,9.81,-1
43,1067,29,observe,1.0,0,28.0,-1,9.95,-1
44,1086,19,observe,1.0,1,18.0,-1,10.23,-1
45,1110,24,observe,1.0,0,23.0,-1,10.41,-1
46,1122,12,observe,1.0,1,11.0,-1,10.64,-1
47,1143,21,observe,1.0,0,20.0,-1,10.75,-1
48,1155,12,observe,1.0,1,11.0,-1,10.95,-1
49,1181,26,observe,1.0,0,25.0,-1,11.06,-1
50,1194,13,observe,1.0,1,12.0,-1,11.31,-1
51,1200,6,observe,1.0,1,6.0,-1,11.43,-1
51,1204,10,observe,1.0,0,9.0,-1,11.43,-1
52,1219,15,observe,1.0,0,14.0,-1,11.52,-1
53,1232,13,observe,1.0,1,12.0,-1,11.66,-1
54,1245,13,observe,1.0,1,12.0,-1,11.78,-1
55,1253,8,observe,1.0,0,7.0,-1,11.9,-1
56,1274,21,observe,1.0,0,20.0,-1,11.97,-1
57,1323,49,observe,1.0,1,48.0,-1,12.17,-1
58,1338,15,observe,1.0,0,14.0,-1,12.65,-1
59,1350,12,observe,1.0,1,11.0,-1,12.79,-1
60,1366,16,observe,1.0,0,15.0,-1,12.9,-1
61,1378,12,observe,1.0,1,11.0,-1,13.05,-1
62,1391,13,observe,1.0,0,12.0,-1,13.16,-1
63,1400,9,observe,1.0,0,9.0,-1,13.28,-1
63,1401,10,observe,1.0,0,9.0,-1,13.28,-1
64,1415,14,observe,1.0,1,13.0,-1,13.37,-1
65,1436,21,observe,1.0,0,20.0,-1,13.5,-1
66,1460,24,observe,1.0,0,23.0,-1,13.7,-1
67,1472,12,observe,1.0,1,11.0,-1,13.93,-1
68,1518,46,observe,1.0,0,45.0,-1,14.04,-1
69,1529,11,observe,1.0,0,10.0,-1,14.49,-1
70,1546,17,observe,1.0,0,16.0,-1,14.59,-1
71,1563,17,observe,1.0,0,16.0,-1,14.75,-1
72,1577,14,observe,1.0,0,13.0,-1,14.91,-1
73,1597,20,observe,1.0,0,19.0,-1,15.04,-1
74,1600,3,observe,1.0,0,3.0,-1,15.23,-1
74,1606,9,observe,1.0,0,8.0,-1,15.23,-1
75,1632,26,observe,1.0,0,25.0,-1,15.31,-1
76,1658,26,observe,1.0,1,25.0,-1,15.56,-1
77,1670,12,observe,1.0,0,11.0,-1,15.81,-1
78,1685,15,observe,1.0,1,14.0,-1,15.92,-1
79,1697,12,observe,1.0,0,11.0,-1,16.06,-1
80,1709,12,observe,1.0,0,11.0,-1,16.17,-1
81,1726,17,observe,1.0,0,16.0,-1,16.28,-1
82,1739,13,observe,1.0,1,12.0,-1,16.44,-1
83,1767,28,observe,1.0,0,27.0,-1,16.56,-1
84,1787,20,observe,1.0,1,19.0,-1,16.83,-1
85,1800,13,observe,1.0,0,13.0,-1,17.02,-1
85,1812,25,observe,1.0,0,24.0,-1,17.02,-1
86,1846,34,observe,1.0,1,33.0,-1,17.26,-1
87,1865,19,observe,1.0,1,18.0,-1,17.59,-1
88,1885,20,observe,1.0,0,19.0,-1,17.77,-1
89,1896,11,observe,1.0,0,10.0,-1,17.96,-1
90,1935,39,observe,1.0,0,38.0,-1,18.06,-1
91,1974,39,observe,1.0,0,38.0,-1,18.44,-1
92,1987,13,observe,1.0,0,12.0,-1,18.82,-1
93,2000,13,observe,1.0,0,13.0,-1,18.94,-1
93,2001,14,observe,1.0,1,13.0,-1,18.94,-1
94,2019,18,observe,1.0,0,17.0,-1,19.07,-1
95,2063,44,observe,1.0,1,43.0,-1,19.24,-1
96,2076,13,observe,1.0,0,12.0,-1,19.67,-1
97,2092,16,observe,1.0,1,15.0,-1,19.79,-1
98,2111,19,observe,1.0,0,18.0,-1,19.94,-1
99,2139,28,observe,1.0,1,27.0,-1,20.12,-1
100,2150,11,observe,1.0,0,10.0,-1,20.39,-1
101,2193,43,observe,1.0,0,42.0,-1,20.25,-1
102,2200,7,observe,1.0,0,7.0,-1,20.23,-1
102,2207,14,observe,1.0,1,13.0,-1,20.23,-1
103,2220,13,observe,1.0,1,12.0,-1,20.06,-1
104,2253,33,observe,1.0,0,32.0,-1,19.93,-1
105,2271,18,observe,1.0,0,17.0,-1,20.16,-1
106,2290,19,observe,1.0,1,18.0,-1,20.1,-1
107,2301,11,observe,1.0,0,10.0,-1,20.16,-1
108,2312,11,observe,1.0,0,10.0,-1,19.97,-1
109,2324,12,observe,1.0,0,11.0,-1,19.55,-1
110,2354,30,observe,1.0,1,29.0,-1,19.41,-1
111,2362,8,observe,1.0,1,7.0,-1,19.57,-1
112,2378,16,observe,1.0,1,15.0,-1,19.53,-1
113,2400,22,observe,1.0,1,22.0,-1,19.02,-1
113,2404,26,observe,1.0,1,25.0,-1,19.02,-1
114,2430,26,observe,1.0,0,25.0,-1,18.93,-1
115,2441,11,observe,1.0,0,10.0,-1,19.1,-1
116,2453,12,observe,1.0,0,11.0,-1,18.95,-1
117,2471,18,observe,1.0,0,17.0,-1,18.95,-1
118,2488,17,observe,1.0,1,16.0,-1,18.99,-1
119,2550,62,observe,1.0,0,61.0,-1,18.93,-1
120,2571,21,observe,1.0,1,20.0,-1,19.27,-1
121,2585,14,observe,1.0,0,13.0,-1,19.35,-1
122,2600,15,observe,1.0,0,15.0,-1,19.24,-1
122,2616,31,observe,1.0,0,30.0,-1,19.24,-1
123,2629,13,observe,1.0,0,12.0,-1,19.45,-1
124,2657,28,observe,1.0,0,27.0,-1,19.44,-1
125,2685,28,observe,1.0,1,27.0,-1,19.28,-1
126,2717,32,observe,1.0,1,31.0,-1,19.27,-1
127,2778,61,observe,1.0,0,60.0,-1,19.17,-1
128,2800,22,observe,1.0,0,22.0,-1,19.51,-1
128,2805,27,observe,1.0,0,26.0,-1,19.51,-1
129,2824,19,observe,1.0,0,18.0,-1,19.63,-1
130,2843,19,observe,1.0,0,18.0,-1,19.71,-1
131,2855,12,observe,1.0,0,11.0,-1,19.5,-1
132,2868,13,observe,1.0,1,12.0,-1,19.45,-1
133,2891,23,observe,1.0,1,22.0,-1,19.31,-1
134,2902,11,observe,1.0,0,10.0,-1,19.44,-1
135,2919,17,observe,1.0,1,16.0,-1,19.43,-1
136,2942,23,observe,1.0,0,22.0,-1,19.22,-1
137,2962,20,observe,1.0,0,19.0,-1,19.31,-1
138,2975,13,observe,1.0,0,12.0,-1,19.3,-1
139,3000,25,observe,1.0,0,25.0,-1,19.18,-1
139,3002,27,observe,1.0,0,26.0,-1,19.18,-1
140,3024,22,observe,1.0,1,21.0,-1,19.14,-1
141,3035,11,observe,1.0,1,10.0,-1,19.14,-1
142,3055,20,observe,1.0,0,19.0,-1,19.12,-1
143,3074,19,observe,1.0,1,18.0,-1,19.17,-1
144,3090,16,observe,1.0,1,15.0,-1,19.07,-1
145,3102,12,observe,1.0,0,11.0,-1,19.04,-1
146,3123,21,observe,1.0,1,20.0,-1,18.92,-1
147,3200,77,observe,1.0,1,76.0,-1,19.01,-1
148,3261,61,observe,1.0,0,60.0,-1,19.57,-1
149,3272,11,observe,1.0,0,10.0,-1,20.06,-1
150,3290,18,observe,1.0,0,17.0,-1,19.91,-1
