EPISODE,TOTAL FRAMES,FRAME,STATE,EPSILON,ACTION,REWARD,Q_MAX,MEAN REWARD,Last Batch Loss Mean
0,200,200,observe,1.0,7,100.73105774710197,-1,0.0,0.0
0,400,400,observe,1.0,4,201.87344898103564,-1,0.0,0.0
0,600,600,observe,1.0,5,303.16893734309593,-1,0.0,0.0
0,800,800,observe,1.0,0,403.16893734309593,-1,0.0,0.0
0,1000,1000,observe,1.0,11,503.16893734309593,-1,0.0,0.0
0,1200,1200,observe,1.0,2,603.1689373430959,-1,0.0,0.0
0,1400,1400,observe,1.0,8,703.1689373430959,-1,0.0,0.0
0,1600,1600,observe,1.0,1,803.1689373430959,-1,0.0,0.0
0,1800,1800,observe,1.0,1,903.1689373430959,-1,0.0,0.0
0,2000,2000,observe,1.0,8,1003.1689373430959,-1,0.0,0.0
0,2200,2200,observe,1.0,1,1103.1689373430959,-1,0.0,0.0
0,2400,2400,observe,1.0,8,1203.1689373430959,-1,0.0,0.0
0,2600,2600,observe,1.0,3,1303.1689373430959,-1,0.0,0.0
0,2800,2800,observe,1.0,3,1403.1689373430959,-1,0.0,0.0
0,3000,3000,observe,1.0,9,1503.1689373430959,-1,0.0,0.0
0,3200,3200,observe,1.0,10,1603.1689373430959,-1,0.0,0.0
0,3400,3400,observe,1.0,0,1703.1689373430959,-1,0.0,0.0
0,3600,3600,observe,1.0,10,1803.1689373430959,-1,0.0,0.0
0,3800,3800,observe,1.0,10,1903.1689373430959,-1,0.0,0.0
1,4000,168,observe,1.0,11,84.48201379003791,-1,19.18168937343096,0.0
1,4200,368,observe,1.0,4,184.4820137900379,-1,19.18168937343096,0.0
1,4400,568,observe,1.0,1,285.6182206223128,-1,19.18168937343096,0.0
1,4600,768,observe,1.0,1,386.23007627892065,-1,19.18168937343096,0.0
1,4800,968,observe,1.0,5,486.8419319355285,-1,19.18168937343096,0.0
1,5000,1168,observe,1.0,1,586.8419319355285,-1,19.18168937343096,0.0
1,5200,1368,observe,1.0,9,686.8419319355285,-1,19.18168937343096,0.0
1,5400,1568,observe,1.0,7,787.8059595156042,-1,19.18168937343096,0.0
1,5600,1768,observe,1.0,0,888.0370180942342,-1,19.18168937343096,0.0
2,5800,50,observe,1.0,8,25.46211715726001,-1,28.8020595543733,0.0
2,6000,250,observe,1.0,0,125.92423431452,-1,28.8020595543733,0.0
2,6200,450,observe,1.0,3,226.38635147178002,-1,28.8020595543733,0.0
2,6400,650,observe,1.0,4,326.7671485497579,-1,28.8020595543733,0.0
2,6600,850,observe,1.0,6,427.1479456277358,-1,28.8020595543733,0.0
2,6800,1050,observe,1.0,3,528.2418150743815,-1,28.8020595543733,0.0
2,7000,1250,observe,1.0,8,629.7343444143912,-1,28.8020595543733,0.0
2,7200,1450,observe,1.0,6,731.3293097751472,-1,28.8020595543733,0.0
2,7400,1650,observe,1.0,3,831.941165431755,-1,28.8020595543733,0.0
2,7600,1850,observe,1.0,6,932.1722240103851,-1,28.8020595543733,0.0
2,7800,2050,observe,1.0,3,1032.553021088363,-1,28.8020595543733,0.0
2,8000,2250,observe,1.0,3,1133.868406083201,-1,28.8020595543733,0.0
2,8200,2450,observe,1.0,5,1235.1933341084766,-1,28.8020595543733,0.0
2,8400,2650,observe,1.0,8,1337.192351808767,-1,28.8020595543733,0.0
2,8600,2850,observe,1.0,11,1438.589056882887,-1,28.8020595543733,0.0
2,8800,3050,observe,1.0,1,1539.0416310097094,-1,28.8020595543733,0.0
2,9000,3250,observe,1.0,11,1639.4942051365317,-1,28.8020595543733,0.0
2,9200,3450,observe,1.0,10,1739.4942051365317,-1,28.8020595543733,0.0
2,9400,3650,observe,1.0,3,1839.4942051365317,-1,28.8020595543733,0.0
2,9600,3850,observe,1.0,3,1939.9563222937916,-1,28.8020595543733,0.0
2,9800,4050,observe,1.0,0,2040.1873808724215,-1,28.8020595543733,0.0
2,10000,4250,observe,1.0,2,2140.880556608311,-1,28.8020595543733,0.0
2,10200,4450,observe,1.0,0,2241.492412264919,-1,28.8020595543733,0.0
2,10400,4650,observe,1.0,2,2341.492412264919,-1,28.8020595543733,0.0
2,10600,4850,observe,1.0,3,2441.873209342897,-1,28.8020595543733,0.0
2,10800,5050,observe,1.0,10,2542.5568420483496,-1,28.8020595543733,0.0
2,11000,5250,observe,1.0,3,2644.2708869365524,-1,28.8020595543733,0.0
2,11200,5450,observe,1.0,4,2744.2708869365524,-1,28.8020595543733,0.0
2,11400,5650,observe,1.0,4,2844.5019455151823,-1,28.8020595543733,0.0
2,11600,5850,observe,1.0,0,2944.98395930522,-1,28.8020595543733,0.0
2,11800,6050,observe,1.0,4,3045.21501788385,-1,28.8020595543733,0.0
2,12000,6250,observe,1.0,11,3145.21501788385,-1,28.8020595543733,0.0
2,12200,6450,observe,1.0,10,3245.8986505893026,-1,28.8020595543733,0.0
2,12400,6650,observe,1.0,11,3346.1297091679326,-1,28.8020595543733,0.0
2,12600,6850,observe,1.0,1,3447.425197529993,-1,28.8020595543733,0.0
2,12800,7050,observe,1.0,1,3548.4896273134236,-1,28.8020595543733,0.0
2,13000,7250,observe,1.0,0,3648.7206858920536,-1,28.8020595543733,0.0
2,13200,7450,observe,1.0,3,3748.9517444706835,-1,28.8020595543733,0.0
2,13400,7650,observe,1.0,7,3848.9517444706835,-1,28.8020595543733,0.0
2,13600,7850,observe,1.0,7,3949.3325415486615,-1,28.8020595543733,0.0
