Environment Id,Observation Space,Action Space,Reward Range,tStepL,Trials,rThresh,Action Meanings
flashgames.TankStorm4-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c7055f8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c705c88>,"(-inf, inf)",20000,100,None,N/A
flashgames.Bimmin2-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6bd518>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bd780>,"(-inf, inf)",20000,100,None,N/A
wob.mini.SimpleAlgebra-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6b0cc0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b0c18>,"(-inf, inf)",10000000,100,None,N/A
flashgames.JamesTheCircusZebra-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6c5048>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6c5cc0>,"(-inf, inf)",20000,100,None,N/A
gym-core.RiverraidDeterministic-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6a5ef0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bdd68>,"(-inf, inf)",100000,100,None,N/A
flashgames.NinjaPandaArena-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6c5048>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6c5dd8>,"(-inf, inf)",20000,100,None,N/A
flashgames.Thundercars-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c7055f8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b0a90>,"(-inf, inf)",20000,100,None,N/A
flashgames.PiggysCupcakeQuest-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c7055f8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bdf28>,"(-inf, inf)",20000,100,None,N/A
flashgames.TheGreatSiege-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c64cbe0>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6c5828>,"(-inf, inf)",20000,100,None,N/A
flashgames.GravityGuy-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c7055f8>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b0780>,"(-inf, inf)",20000,100,None,N/A
flashgames.LooneyAndJohny-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6c5828>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6c50f0>,"(-inf, inf)",20000,100,None,N/A
gym-core.AtlantisNoFrameskip-v3,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6c5b38>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6c5d68>,"(-inf, inf)",400000,100,None,N/A
flashgames.Foosball2Player-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6bdb38>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6bd278>,"(-inf, inf)",20000,100,None,N/A
flashgames.StreetRace2Nitro-v0,<universe.spaces.vnc_observation_space.VNCObservationSpace object at 0x7f829c6b6780>,<universe.spaces.vnc_action_space.VNCActionSpace object at 0x7f829c6b69e8>,"(-inf, inf)",20000,100,None,N/A
